id,predicted_price
2591820310,90465.68
7974200820,95464.15
7701450110,97602.484
9522300010,109824.65
9510861140,92167.49
1761300310,90465.68
7732410120,92167.49
7010701383,94327.65
291310170,92167.49
4232901990,90465.68
6840701125,90465.68
3971700580,90465.68
4202400078,90465.68
6064800090,90465.68
2626119028,90465.68
3303980660,104920.17
862000020,91966.16
2386000070,99975.414
1138000450,90465.68
1775800420,90465.68
2291401425,88724.016
2025770560,113485.98
3525069037,94732.7
9324800450,95800.32
8080400136,99975.414
8651540040,90465.68
9407001790,90465.68
1773101530,90465.68
9432900250,94732.7
1794500695,92585.78
2220069003,100318.96
923000120,90465.68
5728000060,90465.68
16000200,90465.68
1926059094,90465.68
6672900220,92585.78
3629860060,112368.74
1822069109,92167.49
6675500105,90465.68
249000180,113485.98
226059065,90465.68
396100110,90465.68
9264450460,93799.91
7853361210,90465.68
9474700020,90465.68
421000455,90465.68
3755200220,90465.68
7960100075,90465.68
9477100490,90465.68
9138100350,112149.164
1624049275,92167.49
2770606890,90465.68
1157200189,105783.625
2770601800,90465.68
9301300805,92167.49
2325069032,112368.74
1021079099,92167.49
7215730040,94205.74
1853200080,92585.78
3224600340,92167.49
3222049120,99760.93
2113700025,90465.68
7893207925,90465.68
3586501085,92167.49
8024200010,90465.68
7116500705,90465.68
1598600209,93696.195
7204200025,172448.78
4206901505,90465.68
2937300440,92167.49
7205000180,94207.54
8718500665,90465.68
5318101765,92585.78
4122700020,88724.016
8078700020,90465.68
3303980680,105783.625
8924100372,109824.65
2781270210,90465.68
519000043,92167.49
3225069301,121557.73
151000075,92167.49
2297400020,90465.68
6617500085,92167.49
104510180,90465.68
3528900060,94327.65
3345100286,92167.49
1226039130,90465.68
8712100720,92585.78
3037200010,90465.68
3626039268,90465.68
104510230,90465.68
5112800060,90465.68
6072400280,94327.65
5317100570,92167.49
9528102993,91834.516
2919201095,90465.68
6181400920,92167.49
185000161,90465.68
8691400010,99975.414
3345700165,90465.68
6151800486,90465.68
4340000080,105783.625
4136960010,108743.25
3634100030,90465.68
1624059224,105783.625
2788400090,90465.68
9828200762,90465.68
7524400250,90465.68
3528000290,92167.49
5700003630,119231.016
2720069019,95800.32
7227501170,90465.68
2397101270,90465.68
6792100090,92167.49
2770602265,90465.68
3971700937,90465.68
422049203,90465.68
3076500830,90465.68
1423400260,90465.68
9161100795,90465.68
3126049052,90465.68
5100401468,90465.68
514500235,90465.68
1423200170,90465.68
1402100070,93278.13
624110020,94205.74
2407000145,90465.68
1890000225,91966.16
1320069271,90465.68
5490700085,88724.016
263000155,90465.68
3726800201,90465.68
5153200358,88724.016
2725079018,99975.414
7165700200,94205.74
9429000170,92167.49
8718500075,92585.78
1760650950,92167.49
1068000559,109332.65
4113800500,92167.49
4077800507,94205.74
2725069150,92167.49
4008400035,98990.99
7016310270,92167.49
1432701230,90465.68
3278606050,105783.625
2473350710,90465.68
2185000685,90465.68
7792000025,90465.68
6868200029,90465.68
624069003,100318.96
7431500280,99760.93
3296000040,92167.49
1118001215,92167.49
6453900040,95723.42
333100209,90465.68
34001765,103466.445
8946700100,92167.49
5561401210,94205.74
6671900095,92585.78
3275850020,92167.49
3876300600,90465.68
1450900020,90465.68
8562780280,90465.68
7663700973,91834.516
2126049032,92585.78
1823059159,90465.68
3438503426,90465.68
9297301495,92167.49
7140700850,92167.49
7942601805,92167.49
2555900030,90465.68
2887970040,92167.49
7419700010,88724.016
2239000011,90465.68
9283800050,90465.68
9407001340,92585.78
217500140,90393.06
7212660520,90465.68
3298201170,90465.68
3057000400,90465.68
6865200444,94205.74
6071600340,90465.68
