id,price
9543000205.0,139950
3353400120.0,174000
2976800749.0,150000
7335400020.0,219500
7883600700.0,157500
7340600068.0,215000
3832500230.0,245000
4440400125.0,228000
8016250080.0,245000
7116500125.0,189000
795000620.0,115000
766500030.0,225000
8570900162.0,193500
3751600030.0,100000
1237500540.0,225000
3751602249.0,205000
6146600595.0,209950
3664500300.0,230000
1421069123.0,214000
8651441620.0,210000
3438500625.0,210000
2893000280.0,216600
1446401550.0,225000
4435000705.0,160000
2613200025.0,175000
2946003415.0,174500
3530490160.0,178500
5153200506.0,217000
8019200845.0,245000
104540840.0,240000
8732130940.0,213000
1523049207.0,161000
4222200210.0,245000
4060000440.0,241000
3750603492.0,185000
41000454.0,130000
42000245.0,171000
7338000730.0,167000
9268700040.0,215000
1423700680.0,190000
7686204750.0,205000
2870000040.0,145000
2214800630.0,239950
3530500010.0,176000
2223059052.0,231000
7186800105.0,236500
3353401710.0,227950
1099610830.0,209000
2154900040.0,194250
1523049207.0,220000
2730000070.0,225000
9310300175.0,225000
2222059099.0,215000
7941600220.0,219900
7696630080.0,197000
3352401981.0,199000
1352300990.0,126000
7893207665.0,210000
7418700040.0,234000
3598600049.0,224000
7655900031.0,240000
1795500060.0,198400
8091410390.0,220000
3832050860.0,210000
8159610150.0,234950
2325069054.0,225000
421000215.0,208000
2892700041.0,238000
8661000089.0,199950
2781270090.0,195000
1221000562.0,187000
3211100450.0,217000
1555200180.0,225000
3423049209.0,200450
5269200050.0,175000
1823049202.0,175000
7227801580.0,232000
6056100160.0,182568
3826000070.0,185000
421049116.0,216000
3352400661.0,135900
6099400140.0,230000
9347900020.0,230000
425000175.0,208950
8091401030.0,240000
1207200010.0,245000
4364700600.0,216000
1788700185.0,198500
9268710140.0,191950
5469300270.0,234000
1023059324.0,235000
8068000305.0,241000
8078050140.0,245000
3623029034.0,230000
7839300185.0,225000
7891600260.0,175000
5062300280.0,150000
5198600010.0,180000
1922059278.0,145000
5706500385.0,200000
8858100020.0,175000
922059020.0,242025
2823059055.0,199000
3530540090.0,245000
3530530110.0,149900
425000230.0,150000
9518100059.0,203700
7657000085.0,218000
8581200030.0,230000
2414600366.0,199900
3387800380.0,215000
3812400657.0,160000
2522069064.0,135000
203101370.0,170000
8651441290.0,195000
7682200320.0,197400
425400070.0,238000
1220000100.0,215000
7227801955.0,162000
1313500090.0,229999
2349300060.0,200000
8945300290.0,160000
3277801646.0,238000
1788800080.0,184900
6093900280.0,209950
8731982470.0,245000
1432600560.0,166950
722059070.0,235000
3124049171.0,222000
2641800015.0,158800
6303401365.0,210000
522039106.0,160000
16000397.0,189000
2212900470.0,186000
8151600470.0,121800
3623059027.0,200000
1951100110.0,240000
6138000095.0,219000
7520000520.0,232000
2892700041.0,168000
5381000048.0,110000
3192000080.0,205000
3568200060.0,245000
1822059331.0,215000
5379802181.0,193000
7899800045.0,232900
3883800011.0,82000
1545804820.0,240000
8645500160.0,180500
3352401037.0,224000
6306100190.0,220000
1723049008.0,200000
6889000060.0,225000
1322049150.0,85000
7468900235.0,163500
7140200250.0,200000
4202400135.0,177500
9448300061.0,235000
5071500140.0,221000
2329600040.0,158000
7883608693.0,191000
4006000251.0,226000
1551500130.0,180000
9835800840.0,215000
853000261.0,197500
3826000550.0,245000
5412310170.0,177000
2123049086.0,210000
5272200005.0,175000
8645530010.0,225000
7116500925.0,206000
5379805885.0,240000
7335400065.0,229950
1610000016.0,175000
2366800055.0,225000
9536601045.0,227500
303000445.0,175000
4406000620.0,231750
3326079016.0,190000
4330600301.0,218450
7689600215.0,202500
8092501240.0,219950
5127001320.0,190000
8092501400.0,209950
7689600360.0,215000
1865800250.0,147500
8856000545.0,100000
646910480.0,206000
6303401050.0,132500
4204400201.0,216180
1502400300.0,235000
3329520410.0,245000
1951500030.0,140000
1424100100.0,183000
8159610060.0,233000
2322059039.0,238000
3298701070.0,180000
8651400230.0,225000
418000330.0,199950
1018000276.0,217000
421049254.0,179000
7967700530.0,241000
5126900100.0,150000
9189700255.0,165000
1938400010.0,244000
8562000010.0,244500
3751600025.0,139000
1442800060.0,205000
1463400081.0,230000
9211520150.0,236000
3584000310.0,225000
3223059206.0,235000
1312900180.0,225000
7575500040.0,180000
4364700875.0,237502
2320069248.0,165050
8937500040.0,230000
7520000020.0,244000
4137010310.0,205000
5515600087.0,215000
723049158.0,135000
7686202065.0,170000
4031000460.0,199500
722039087.0,220500
1665400045.0,186375
2621600015.0,120000
8651402660.0,175409
1099760470.0,161700
3080000005.0,181000
7888100090.0,160000
4222310680.0,240000
7806210250.0,235000
9320600170.0,200500
100600550.0,226500
8856004730.0,199950
1761100080.0,205000
1823059205.0,200000
1423400160.0,230000
